"state","year","std_score","initiative","init_sigs","std_population","std_citideology","unified","std_income","std_legp_squire","duration","durationsq","durationcb","year_1993","year_1994","year_1995","year_1996","year_1997","year_1998","year_1999","year_2000","year_2001","year_2002","year_2003","year_2004","year_2005","year_2006","year_2007","year_2008","year_2009","year_2010","year_2011","event","billnum","year_2012","year_2013","year_","year_1991","year_1992"
"VA",1994,-0.442583352327347,0,0,0.319462895393372,-0.721609473228455,0,0.652565181255341,-0.377159714698792,2,4,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"abortion_consent_1992_201",0,0,0,0,0
"WA",1994,-0.412875562906265,1,8,0.0904319733381271,0.0199530553072691,1,0.530759334564209,0.0170315690338612,2,4,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"abortion_consent_1992_201",0,0,0,0,0
"WV",1994,-0.322513788938522,0,0,-0.57800817489624,0.825842559337616,1,-0.621942579746246,-0.65637868642807,2,4,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"abortion_consent_1992_201",0,0,0,0,0
"WI",1994,-0.264901638031006,0,0,0.0450230464339256,0.231368541717529,0,0.250397980213165,2.16044688224792,2,4,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"abortion_consent_1992_201",0,0,0,0,0
"WY",1994,-0.130780607461929,1,15,-0.830010294914246,-0.832497954368591,0,0.0331181772053242,-1.14090549945831,2,4,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"abortion_consent_1992_201",0,0,0,0,0
"AK",1995,1.13349211215973,1,10,-0.806668817996979,-1.06276512145996,0,0.877106964588165,0.296250402927399,3,9,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"abortion_consent_1992_201",0,0,0,0,0
"IA",1995,0.843772113323212,0,0,-0.381137281656265,-0.293003797531128,0,0.029544185847044,-0.262187272310257,3,9,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"abortion_consent_1992_201",0,0,0,0,0
"NE",1995,-0.488436698913574,1,8.5,-0.617258906364441,0.365502208471298,0,0.0610944218933582,-0.196488693356514,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"abortion_consent_1992_201",0,0,0,0,0
"PA",1995,-0.488436698913574,0,0,1,0.606809914112091,0,0.337349325418472,0.715078711509705,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"abortion_consent_1992_201",0,0,0,0,0
"WA",1995,-0.0728504210710526,1,8,0.110339216887951,0.182073026895523,0,0.567076802253723,0.0170315690338612,3,9,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"abortion_consent_1992_201",0,0,0,0,0
