fips,policy_num,state,abbrev,stateno1,year_adopted,state_pol_id,year,adopt_policy,fem_dem,religadhrate,norrander_legality,initdif,uni_dem_leg,time,time2,nbrspct,webster,state_policy,dem_gov,rescaledmedincome,rescaledpopsize,policy_name
39,2,Ohio,OH,35,1995.0,1464,1979,0.0,0.068,0.49296895,2.78,5,1,6,36,0.0,0,1260,0,1.5293,1.0782502,Ban 20 week to viability
40,2,Oklahoma,OK,36,2011.0,1507,1979,0.0,0.04,0.5769297,2.68,4,1,6,36,0.16666667,0,1297,1,1.7754,0.29793254,Ban 20 week to viability
42,2,Pennsylvania,PA,38,1989.0,1593,1979,0.0,0.043,0.60780984,2.85,0,0,6,36,0.16666667,0,1371,0,1.678,1.1859691,Ban 20 week to viability
49,2,Utah,UT,44,1990.0,1851,1979,0.0,0.038,0.76030415,2.73,4,0,6,36,0.0,0,1593,1,1.6708,0.14208272,Ban 20 week to viability
4,2,Arizona,AZ,3,2012.0,88,1980,0.0,0.136,0.3965808,2.28,4,0,7,49,0.0,0,76,1,1.7443,0.2718,Ban 20 week to viability
5,2,Arkansas,AR,4,2013.0,131,1980,0.0,0.027,0.5398808,2.93,5,1,7,49,0.14285715,0,113,1,1.2906,0.2285,Ban 20 week to viability
6,2,California,CA,5,1987.0,174,1980,0.0,0.071,0.34468228,2.24,6,1,7,49,0.0,0,150,1,1.9652,2.3669,Ban 20 week to viability
13,2,Georgia,GA,10,2012.0,389,1980,0.0,0.057,0.47044381,2.83,0,1,7,49,0.6,0,335,1,1.5737,0.5464,Ban 20 week to viability
16,2,Idaho,ID,12,2011.0,475,1980,0.0,0.056,0.50056094,2.61,5,0,7,49,0.0,0,409,1,2.0597,0.0945,Ban 20 week to viability
18,2,Indiana,IN,14,2011.0,561,1980,0.0,0.054,0.4478238,2.73,0,0,7,49,0.0,0,483,0,2.0011,0.5491,Ban 20 week to viability
20,2,Kansas,KS,16,2011.0,647,1980,0.0,0.073,0.5344076,2.83,0,0,7,49,0.25,0,557,1,1.8365,0.2363,Ban 20 week to viability
22,2,Louisiana,LA,18,2012.0,733,1980,0.0,0.012,0.5737319,3.02,0,1,7,49,0.0,0,631,0,1.4962,0.4203,Ban 20 week to viability
31,2,Nebraska,NE,27,2010.0,1120,1980,0.0,0.056,0.6321106,2.72,3,0,7,49,0.33333334,0,964,0,1.6615,0.0799,Ban 20 week to viability
39,2,Ohio,OH,35,1995.0,1464,1980,0.0,0.049,0.49512967,2.78,5,1,7,49,0.0,0,1260,0,1.6859,1.0797,Ban 20 week to viability
40,2,Oklahoma,OK,36,2011.0,1507,1980,0.0,0.04,0.5798026,2.68,4,1,7,49,0.16666667,0,1297,1,1.8433,0.3026,Ban 20 week to viability
42,2,Pennsylvania,PA,38,1989.0,1593,1980,0.0,0.029,0.60956657,2.85,0,0,7,49,0.16666667,0,1371,0,1.7493,1.1867,Ban 20 week to viability
49,2,Utah,UT,44,1990.0,1851,1980,0.0,0.038,0.75191665,2.73,4,0,7,49,0.0,0,1593,1,1.7978,0.1461,Ban 20 week to viability
4,2,Arizona,AZ,3,2012.0,88,1981,0.0,0.083,0.39996034,2.28,4,0,8,64,0.0,0,76,1,1.8439,0.28127226,Ban 20 week to viability
5,2,Arkansas,AR,4,2013.0,131,1981,0.0,0.024,0.5465205,2.93,5,1,8,64,0.14285715,0,113,0,1.3598,0.22915725,Ban 20 week to viability
6,2,California,CA,5,1987.0,174,1981,0.0,0.05,0.35250345,2.24,6,1,8,64,0.0,0,150,1,2.1061,2.4278102,Ban 20 week to viability
